time,value
-0.00937992,1
-0.00937975,1
-0.00937958,0
-0.00937941,0
-0.00937924,0
-0.00937907,0
-0.0093789,0
-0.00937873,1
-0.00937856,1
-0.00937839,1
-0.00937822,1
-0.00937805,1
-0.00937788,0
-0.00937771,0
-0.00937754,0
-0.00937737,0
-0.0093772,1
-0.00937703,1
-0.00937686,1
-0.00937669,0
-0.00937652,0
-0.00937635,1
-0.00937618,1
-0.00937601,1
-0.00937584,0
-0.00937567,0
-0.0093755,0
-0.00937533,0
-0.00937516,1
-0.00937499,1
-0.00937482,1
-0.00937465,0
-0.00937448,0
-0.00937431,1
-0.00937414,1
-0.00937397,0
-0.0093738,0
-0.00937363,0
-0.00937346,1
-0.00937329,1
-0.00937312,1
-0.00937295,1
-0.00937278,0
-0.00937261,0
-0.00937244,0
-0.00937227,0
-0.0093721,0
-0.00937193,1
-0.00937176,1
-0.00937159,0
-0.00937142,0
-0.00937125,0
-0.00937108,0
-0.00937091,0
-0.00937074,1
-0.00937057,1
-0.0093704,1
-0.00937023,1
-0.00937006,1
-0.00936989,1
-0.00936972,1
-0.00936955,0
-0.00936938,0
-0.00936921,0
-0.00936904,0
-0.00936887,0
-0.0093687,1
-0.00936853,1
-0.00936836,0
-0.00936819,0
-0.00936802,0
-0.00936785,0
-0.00936768,0
-0.00936751,0
-0.00936734,0
-0.00936717,1
-0.009367,1
-0.00936683,1
-0.00936666,1
-0.00936649,1
-0.00936632,1
-0.00936615,1
-0.00936598,0
-0.00936581,0
-0.00936564,0
-0.00936547,1
-0.0093653,1
-0.00936513,0
-0.00936496,0
-0.00936479,0
-0.00936462,0
-0.00936445,0
-0.00936428,0
-0.00936411,0
-0.00936394,1
-0.00936377,1
-0.0093636,0
-0.00936343,0
-0.00936326,0
-0.00936309,1
-0.00936292,1
-0.00936275,1
-0.00936258,1
-0.00936241,1
-0.00936224,0
-0.00936207,0
-0.0093619,0
-0.00936173,0
-0.00936156,1
-0.00936139,1
-0.00936122,1
-0.00936105,0
-0.00936088,0
-0.00936071,0
-0.00936054,0
-0.00936037,1
-0.0093602,1
-0.00936003,1
-0.00935986,1
-0.00935969,1
-0.00935952,1
-0.00935935,1
-0.00935918,0
-0.00935901,0
-0.00935884,0
-0.00935867,0
-0.0093585,0
-0.00935833,1
-0.00935816,1
-0.00935799,0
-0.00935782,0
-0.00935765,0
-0.00935748,1
-0.00935731,1
-0.00935714,0
-0.00935697,0
-0.0093568,0
-0.00935663,0
-0.00935646,0
-0.00935629,1
-0.00935612,1
-0.00935595,0
-0.00935578,0
-0.00935561,1
-0.00935544,1
-0.00935527,1
-0.0093551,1
-0.00935493,1
-0.00935476,0
-0.00935459,0
-0.00935442,0
-0.00935425,0
-0.00935408,0
-0.00935391,1
-0.00935374,1
-0.00935357,0
-0.0093534,0
-0.00935323,0
-0.00935306,0
-0.00935289,0
-0.00935272,1
-0.00935255,1
-0.00935238,0
-0.00935221,0
-0.00935204,0
-0.00935187,1
-0.0093517,1
-0.00935153,1
-0.00935136,1
-0.00935119,0
-0.00935102,0
-0.00935085,0
-0.00935068,1
-0.00935051,1
-0.00935034,0
-0.00935017,0
-0.00935,0
-0.00934983,0
-0.00934966,0
-0.00934949,1
-0.00934932,1
-0.00934915,0
-0.00934898,0
-0.00934881,1
-0.00934864,1
-0.00934847,1
-0.0093483,0
-0.00934813,0
-0.00934796,0
-0.00934779,0
-0.00934762,0
-0.00934745,1
-0.00934728,1
-0.00934711,1
-0.00934694,1
-0.00934677,0
-0.0093466,0
-0.00934643,0
-0.00934626,1
-0.00934609,1
-0.00934592,0
-0.00934575,0
-0.00934558,0
-0.00934541,0
-0.00934524,0
-0.00934507,1
-0.0093449,1
-0.00934473,1
-0.00934456,1
-0.00934439,0
-0.00934422,0
-0.00934405,0
-0.00934388,1
-0.00934371,1
-0.00934354,0
-0.00934337,0
-0.0093432,0
-0.00934303,0
-0.00934286,0
-0.00934269,1
-0.00934252,1
-0.00934235,0
-0.00934218,0
-0.00934201,1
-0.00934184,1
-0.00934167,1
-0.0093415,0
-0.00934133,0
-0.00934116,0
-0.00934099,0
-0.00934082,0
-0.00934065,1
-0.00934048,1
-0.00934031,1
-0.00934014,1
-0.00933997,0
-0.0093398,0
-0.00933963,0
-0.00933946,0
-0.00933929,0
-0.00933912,0
-0.00933895,0
-0.00933878,1
-0.00933861,1
-0.00933844,1
-0.00933827,1
-0.0093381,1
-0.00933793,0
-0.00933776,0
-0.00933759,1
-0.00933742,1
-0.00933725,1
-0.00933708,0
-0.00933691,0
-0.00933674,1
-0.00933657,1
-0.0093364,1
-0.00933623,1
-0.00933606,1
-0.00933589,0
-0.00933572,0
-0.00933555,0
-0.00933538,0
-0.00933521,0
-0.00933504,0
-0.00933487,0
-0.0093347,1
-0.00933453,1
-0.00933436,1
-0.00933419,1
-0.00933402,1
-0.00933385,0
-0.00933368,0
-0.00933351,0
-0.00933334,0
-0.00933317,1
-0.009333,1
-0.00933283,1
-0.00933266,1
-0.00933249,1
-0.00933232,0
-0.00933215,0
-0.00933198,0
-0.00933181,0
-0.00933164,0
-0.00933147,0
-0.0093313,0
-0.00933113,1
-0.00933096,1
-0.00933079,1
-0.00933062,1
-0.00933045,1
-0.00933028,0
-0.00933011,0
-0.00932994,1
-0.00932977,1
-0.0093296,0
-0.00932943,0
-0.00932926,0
-0.00932909,0
-0.00932892,0
-0.00932875,1
-0.00932858,1
-0.00932841,0
-0.00932824,0
-0.00932807,0
-0.0093279,1
-0.00932773,1
-0.00932756,0
-0.00932739,0
-0.00932722,0
-0.00932705,1
